id,name,price,image,category,description,nutrients,calories,healthBenefits,tags
1,Red Apple,₹120/kg,https://upload.wikimedia.org/wikipedia/commons/1/15/Red_Apple.jpg,Fruit,Juicy red apples rich in antioxidants and natural sweetness.,Vitamin C;Fiber;Antioxidants,52 kcal per 100g,Supports heart health;boosts immunity;improves digestion.,Diabetic Friendly;Best for Snack
2,Banana,₹50/dozen,https://upload.wikimedia.org/wikipedia/commons/8/8a/Banana-Single.jpg,Fruit,Fresh bananas perfect for energy and digestion.,Potassium;Vitamin B6;Fiber,89 kcal per 100g,Regulates blood pressure;provides energy;supports digestion.,Energy Booster;Kid Friendly
104,Cherry Tomato,₹80/kg,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Small and sweet cherry tomatoes.,Lycopene;Vitamin C;Potassium,18 kcal per 100g,Good for skin;antioxidant rich.,Salad;Juicy
105,Green Zucchini,₹50/kg,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Fresh and tender green zucchini.,Vitamin C;Potassium;Fiber,17 kcal per 100g,Supports digestion;low calorie.,Summer Veg;Fiber Rich
106,Red Onion,₹30/kg,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=400&q=80,Vegetable,Sharp and flavorful red onions.,Vitamin C;Flavonoids;Fiber,40 kcal per 100g,Boosts immunity;anti-inflammatory.,Essential;Cooking Base
107,Green Grapes,₹120/kg,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Fruit,Sweet and juicy green grapes.,Vitamin C;Vitamin K;Potassium,69 kcal per 100g,Improves heart health;antioxidant rich.,Snack Fruit;Heart Healthy
108,White Radish,₹25/bundle,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Crisp and spicy white radish.,Vitamin C;Folate;Fiber,16 kcal per 100g,Supports digestion;clears toxins.,Winter Veg;Digestive
109,Plum Tomato,₹60/kg,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=400&q=80,Vegetable,Juicy and tangy plum tomatoes.,Lycopene;Vitamin C;Potassium,19 kcal per 100g,Good for skin;antioxidant rich.,Salad;Cooking
110,Golden Apple,₹180/kg,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Fruit,Sweet and crisp golden apples.,Vitamin C;Fiber;Potassium,52 kcal per 100g,Supports heart health;improves digestion.,Snack Fruit;Golden
111,Green Papaya,₹40/kg,https://images.unsplash.com/photo-1519864600265-abb23847ef2c?auto=format&fit=crop&w=400&q=80,Vegetable,Raw papaya used in salads and curries.,Vitamin C;Enzymes;Fiber,32 kcal per 100g,Improves digestion;supports immunity.,Raw;Salad Veg
112,Red Spinach,₹35/bundle,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=400&q=80,Vegetable,Leafy green with red stems.,Iron;Vitamin K;Antioxidants,23 kcal per 100g,Boosts hemoglobin;antioxidant rich.,Leafy Green;Iron Rich
113,White Pumpkin,₹25/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Large white squash.,Vitamin A;Vitamin C;Fiber,26 kcal per 100g,Boosts immunity;good for eyes.,Winter Veg;Vitamin A Rich
114,Black Carrot,₹60/kg,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Dark purple carrot variety.,Beta-Carotene;Vitamin A;Fiber,41 kcal per 100g,Improves vision;antioxidant rich.,Winter Veg;Antioxidant
115,Yellow Watermelon,₹20/kg,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Fruit,Sweet yellow-fleshed watermelon.,Vitamin C;Water;Lycopene,30 kcal per 100g,Hydrates body;good for skin.,Hydrating;Summer Fruit
116,Red Banana,₹80/dozen,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Fruit,Sweet and creamy red bananas.,Potassium;Vitamin B6;Fiber,89 kcal per 100g,Regulates blood pressure;energy booster.,Exotic;Energy
117,Iceberg Lettuce,₹30/bundle,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Crisp and watery lettuce.,Vitamin K;Folate;Iron,15 kcal per 100g,Promotes bone strength;weight friendly.,Salad Base;Low Calorie
118,Mini Cucumber,₹40/250g,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Small and crunchy cucumbers.,Water;Vitamin K;Potassium,16 kcal per 100g,Hydrates body;good for skin.,Snack Veg;Hydrating
119,Golden Beetroot,₹60/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Yellow beetroot with sweet flavor.,Folate;Potassium;Fiber,43 kcal per 100g,Improves blood flow;boosts stamina.,Root Veg;Antioxidant
120,Red Pear,₹140/kg,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Fruit,Juicy and sweet red pears.,Vitamin C;Fiber;Potassium,57 kcal per 100g,Improves digestion;supports heart health.,Snack Fruit;Fiber Rich
121,Green Mango,₹60/kg,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Fruit,Raw mango used for pickles and salads.,Vitamin C;Fiber;Antioxidants,60 kcal per 100g,Boosts immunity;improves digestion.,Tangy;Summer Fruit
122,Red Pumpkin,₹35/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Orange-red pumpkin variety.,Vitamin A;Vitamin C;Fiber,26 kcal per 100g,Boosts immunity;good for eyes.,Winter Veg;Vitamin A Rich
123,Yellow Dragon Fruit,₹300/each,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Fruit,Exotic yellow-skinned dragon fruit.,Vitamin C;Iron;Magnesium,60 kcal per 100g,Boosts immunity;improves gut health.,Exotic;Antioxidant
124,White Guava,₹50/kg,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Fruit,Sweet and crunchy white guava.,Vitamin C;Fiber;Lycopene,68 kcal per 100g,Boosts digestion;immunity.,High Fiber;Snack Fruit
125,Red Grapefruit,₹100/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Fruit,Sweet and tangy red grapefruit.,Vitamin C;Vitamin A;Fiber,42 kcal per 100g,Boosts metabolism;supports weight loss.,Citrus;Weight Loss
126,Green Plum,₹180/kg,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Fruit,Tart and juicy green plums.,Vitamin C;Vitamin K;Fiber,46 kcal per 100g,Improves digestion;antioxidant rich.,Antioxidant;Snack Fruit
127,Yellow Cherry,₹250/250g,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Fruit,Sweet and juicy yellow cherries.,Vitamin C;Potassium;Antioxidants,50 kcal per 100g,Reduces inflammation;improves sleep.,Antioxidant;Dessert Fruit
128,Red Okra,₹50/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Red variety of okra pods.,Vitamin C;Folate;Fiber,33 kcal per 100g,Supports digestion;good for pregnancy.,Indian Veg;Fiber Rich
129,White Eggplant,₹40/kg,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,White-skinned eggplant.,Fiber;Vitamin B1;Antioxidants,25 kcal per 100g,Good for heart;anti-cancer.,Low Calorie;Fiber Rich
130,Golden Raspberry,₹300/250g,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Fruit,Delicate and sweet golden raspberries.,Vitamin C;Fiber;Antioxidants,52 kcal per 100g,Boosts immunity;improves skin.,Berry;Antioxidant
131,Green Bell Pepper,₹55/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Crunchy green bell peppers.,Vitamin C;Vitamin A;Antioxidants,20 kcal per 100g,Improves eye health;boosts immunity.,Colorful;Salad Veg
132,Red Jalapeno,₹70/100g,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Spicy red jalapeno peppers.,Capsaicin;Vitamin C;Antioxidants,29 kcal per 100g,Boosts metabolism;fights pain.,Spicy;Mexican
133,White Asparagus,₹200/bundle,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Delicate white asparagus spears.,Folate;Vitamin K;Fiber,20 kcal per 100g,Supports digestion;good for pregnancy.,Spring Veg;Fiber Rich
134,Red Cabbage Microgreens,₹80/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Nutrient-dense microgreens.,Vitamin C;Vitamin K;Antioxidants,31 kcal per 100g,Improves digestion;antioxidant rich.,Microgreens;Salad
135,Green Pea Shoots,₹60/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Tender shoots of green peas.,Protein;Fiber;Vitamin K,81 kcal per 100g,Supports weight loss;builds muscle.,Microgreens;Protein Rich
136,Yellow Carrot,₹50/kg,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Sweet yellow carrot variety.,Beta-Carotene;Vitamin A;Fiber,41 kcal per 100g,Improves vision;antioxidant rich.,Winter Veg;Antioxidant
137,Red Radish,₹30/bundle,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Spicy and crisp red radish.,Vitamin C;Folate;Fiber,16 kcal per 100g,Supports digestion;clears toxins.,Winter Veg;Digestive
138,Green Apple Gourd,₹40/kg,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Round and tender green gourd.,Vitamin C;Fiber;Potassium,18 kcal per 100g,Good for digestion;lowers cholesterol.,Summer Veg;Digestive
139,Red Lettuce,₹35/bundle,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Leafy lettuce with red tips.,Vitamin K;Folate;Iron,15 kcal per 100g,Promotes bone strength;weight friendly.,Salad Base;Low Calorie
140,Golden Kiwi,₹220/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Fruit,Sweet golden-fleshed kiwi.,Vitamin C;Vitamin K;Fiber,41 kcal per 100g,Boosts immunity;improves digestion.,Exotic;Vitamin C Rich
141,White Cherry,₹250/250g,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Fruit,Sweet and juicy white cherries.,Vitamin C;Potassium;Antioxidants,50 kcal per 100g,Reduces inflammation;improves sleep.,Antioxidant;Dessert Fruit
142,Red Currant Microgreens,₹90/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Tiny shoots of red currant.,Vitamin C;Antioxidants;Fiber,56 kcal per 100g,Improves blood health;antioxidant rich.,Microgreens;Antioxidant
143,Green Tomato,₹60/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Unripe green tomatoes.,Lycopene;Vitamin C;Potassium,18 kcal per 100g,Good for skin;antioxidant rich.,Salad;Juicy
144,Yellow Plum,₹180/kg,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Fruit,Sweet and tart yellow plums.,Vitamin C;Vitamin K;Fiber,46 kcal per 100g,Improves digestion;antioxidant rich.,Antioxidant;Snack Fruit
145,Red Grapes,₹130/kg,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Fruit,Sweet and juicy red grapes.,Vitamin C;Vitamin K;Potassium,69 kcal per 100g,Improves heart health;antioxidant rich.,Snack Fruit;Heart Healthy
146,White Mulberry,₹220/250g,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Fruit,Sweet and chewy white mulberries.,Vitamin C;Iron;Fiber,43 kcal per 100g,Improves blood health;antioxidant rich.,Berry;Antioxidant
147,Green Chard,₹70/bundle,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Leafy green chard.,Vitamin K;Vitamin A;Magnesium,19 kcal per 100g,Supports bone health;improves vision.,Leafy Green;Superfood
148,Red Beet Microgreens,₹80/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Nutrient-rich beet microgreens.,Folate;Potassium;Fiber,43 kcal per 100g,Improves blood flow;boosts stamina.,Microgreens;Antioxidant
149,Golden Apple Gourd,₹45/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Golden-skinned apple gourd.,Vitamin C;Fiber;Potassium,18 kcal per 100g,Good for digestion;lowers cholesterol.,Summer Veg;Digestive
150,Red Spinach Microgreens,₹85/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Tender shoots of red spinach.,Iron;Vitamin K;Antioxidants,23 kcal per 100g,Boosts hemoglobin;antioxidant rich.,Microgreens;Iron Rich
151,White Turnip,₹30/kg,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,White root vegetable.,Vitamin C;Fiber;Potassium,28 kcal per 100g,Supports heart health;boosts immunity.,Winter Veg;Root Veg
152,Red Bell Pepper Microgreens,₹90/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of red bell pepper.,Vitamin C;Vitamin A;Antioxidants,31 kcal per 100g,Boosts immunity;improves vision.,Microgreens;Salad
153,Green Jalapeno,₹60/100g,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Spicy green jalapeno peppers.,Capsaicin;Vitamin C;Antioxidants,29 kcal per 100g,Boosts metabolism;fights pain.,Spicy;Mexican
154,Yellow Zucchini,₹55/kg,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Soft and mild yellow zucchini.,Vitamin C;Potassium;Fiber,17 kcal per 100g,Supports digestion;low calorie.,Summer Veg;Fiber Rich
155,Red Onion Microgreens,₹80/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of red onion.,Vitamin C;Flavonoids;Fiber,40 kcal per 100g,Boosts immunity;anti-inflammatory.,Microgreens;Cooking Base
156,Golden Beet Microgreens,₹85/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of golden beetroot.,Folate;Potassium;Fiber,43 kcal per 100g,Improves blood flow;boosts stamina.,Microgreens;Antioxidant
157,White Pumpkin Microgreens,₹70/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of white pumpkin.,Vitamin A;Vitamin C;Fiber,26 kcal per 100g,Boosts immunity;good for eyes.,Microgreens;Vitamin A Rich
158,Red Cabbage Sprouts,₹80/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Young sprouts of red cabbage.,Vitamin C;Vitamin K;Fiber,31 kcal per 100g,Improves digestion;antioxidant rich.,Sprouts;Antioxidant
159,Green Mustard,₹40/bundle,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Leafy green mustard leaves.,Vitamin K;Vitamin A;Calcium,27 kcal per 100g,Supports bone health;improves vision.,Leafy Green;Superfood
160,Red Mustard,₹45/bundle,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Red-tinted mustard leaves.,Vitamin K;Vitamin A;Calcium,27 kcal per 100g,Supports bone health;improves vision.,Leafy Green;Superfood
161,Golden Corn,₹70/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Juicy golden corn kernels.,Carbs;Fiber;Vitamin B3,86 kcal per 100g,Boosts energy;supports eyes.,Snack;Sweet
162,Red Corn,₹80/kg,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Red variety of corn.,Carbs;Fiber;Vitamin B3,86 kcal per 100g,Boosts energy;supports eyes.,Snack;Sweet
163,White Corn,₹75/kg,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,White variety of corn.,Carbs;Fiber;Vitamin B3,86 kcal per 100g,Boosts energy;supports eyes.,Snack;Sweet
164,Green Corn,₹85/kg,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Young green corn.,Carbs;Fiber;Vitamin B3,86 kcal per 100g,Boosts energy;supports eyes.,Snack;Sweet
165,Red Apple Microgreens,₹90/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of red apple.,Vitamin C;Fiber;Antioxidants,52 kcal per 100g,Supports heart health;boosts immunity.,Microgreens;Snack
166,Golden Apple Microgreens,₹95/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of golden apple.,Vitamin C;Fiber;Potassium,52 kcal per 100g,Supports heart health;improves digestion.,Microgreens;Golden
167,Red Pear Microgreens,₹85/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of red pear.,Vitamin C;Fiber;Potassium,57 kcal per 100g,Improves digestion;supports heart health.,Microgreens;Fiber Rich
168,Green Pear Microgreens,₹80/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of green pear.,Vitamin C;Fiber;Potassium,57 kcal per 100g,Improves digestion;supports heart health.,Microgreens;Fiber Rich
169,Yellow Pear Microgreens,₹90/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of yellow pear.,Vitamin C;Fiber;Potassium,57 kcal per 100g,Improves digestion;supports heart health.,Microgreens;Fiber Rich
170,Red Plum Microgreens,₹85/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of red plum.,Vitamin C;Vitamin K;Fiber,46 kcal per 100g,Improves digestion;antioxidant rich.,Microgreens;Antioxidant
171,Green Plum Microgreens,₹80/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of green plum.,Vitamin C;Vitamin K;Fiber,46 kcal per 100g,Improves digestion;antioxidant rich.,Microgreens;Antioxidant
172,Yellow Plum Microgreens,₹90/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of yellow plum.,Vitamin C;Vitamin K;Fiber,46 kcal per 100g,Improves digestion;antioxidant rich.,Microgreens;Antioxidant
173,Red Grape Microgreens,₹85/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of red grape.,Vitamin C;Vitamin K;Potassium,69 kcal per 100g,Improves heart health;antioxidant rich.,Microgreens;Heart Healthy
174,Green Grape Microgreens,₹80/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of green grape.,Vitamin C;Vitamin K;Potassium,69 kcal per 100g,Improves heart health;antioxidant rich.,Microgreens;Heart Healthy
175,Yellow Grape Microgreens,₹90/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of yellow grape.,Vitamin C;Vitamin K;Potassium,69 kcal per 100g,Improves heart health;antioxidant rich.,Microgreens;Heart Healthy
176,Red Cherry Microgreens,₹85/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of red cherry.,Vitamin C;Potassium;Antioxidants,50 kcal per 100g,Reduces inflammation;improves sleep.,Microgreens;Dessert Fruit
177,Green Cherry Microgreens,₹80/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of green cherry.,Vitamin C;Potassium;Antioxidants,50 kcal per 100g,Reduces inflammation;improves sleep.,Microgreens;Dessert Fruit
178,Yellow Cherry Microgreens,₹90/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Microgreens of yellow cherry.,Vitamin C;Potassium;Antioxidants,50 kcal per 100g,Reduces inflammation;improves sleep.,Microgreens;Dessert Fruit
179,Red Currant Sprouts,₹80/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of red currant.,Vitamin C;Antioxidants;Fiber,56 kcal per 100g,Improves blood health;antioxidant rich.,Sprouts;Antioxidant
180,Green Currant Sprouts,₹75/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of green currant.,Vitamin C;Antioxidants;Fiber,56 kcal per 100g,Improves blood health;antioxidant rich.,Sprouts;Antioxidant
181,Yellow Currant Sprouts,₹85/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of yellow currant.,Vitamin C;Antioxidants;Fiber,56 kcal per 100g,Improves blood health;antioxidant rich.,Sprouts;Antioxidant
182,Red Beet Sprouts,₹80/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of red beetroot.,Folate;Potassium;Fiber,43 kcal per 100g,Improves blood flow;boosts stamina.,Sprouts;Antioxidant
183,Golden Beet Sprouts,₹85/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of golden beetroot.,Folate;Potassium;Fiber,43 kcal per 100g,Improves blood flow;boosts stamina.,Sprouts;Antioxidant
184,White Beet Sprouts,₹75/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of white beetroot.,Folate;Potassium;Fiber,43 kcal per 100g,Improves blood flow;boosts stamina.,Sprouts;Antioxidant
185,Red Spinach Sprouts,₹80/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of red spinach.,Iron;Vitamin K;Antioxidants,23 kcal per 100g,Boosts hemoglobin;antioxidant rich.,Sprouts;Iron Rich
186,Green Spinach Sprouts,₹75/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of green spinach.,Iron;Vitamin K;Antioxidants,23 kcal per 100g,Boosts hemoglobin;antioxidant rich.,Sprouts;Iron Rich
187,Yellow Spinach Sprouts,₹85/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of yellow spinach.,Iron;Vitamin K;Antioxidants,23 kcal per 100g,Boosts hemoglobin;antioxidant rich.,Sprouts;Iron Rich
188,Red Lettuce Sprouts,₹80/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of red lettuce.,Vitamin K;Folate;Iron,15 kcal per 100g,Promotes bone strength;weight friendly.,Sprouts;Low Calorie
189,Green Lettuce Sprouts,₹75/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of green lettuce.,Vitamin K;Folate;Iron,15 kcal per 100g,Promotes bone strength;weight friendly.,Sprouts;Low Calorie
190,Yellow Lettuce Sprouts,₹85/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Sprouts of yellow lettuce.,Vitamin K;Folate;Iron,15 kcal per 100g,Promotes bone strength;weight friendly.,Sprouts;Low Calorie
191,Red Cabbage Shoots,₹80/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Shoots of red cabbage.,Vitamin C;Vitamin K;Fiber,31 kcal per 100g,Improves digestion;antioxidant rich.,Shoots;Antioxidant
192,Green Cabbage Shoots,₹75/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Shoots of green cabbage.,Vitamin C;Vitamin K;Fiber,31 kcal per 100g,Improves digestion;antioxidant rich.,Shoots;Antioxidant
193,Yellow Cabbage Shoots,₹85/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Shoots of yellow cabbage.,Vitamin C;Vitamin K;Fiber,31 kcal per 100g,Improves digestion;antioxidant rich.,Shoots;Antioxidant
194,Red Onion Shoots,₹80/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Shoots of red onion.,Vitamin C;Flavonoids;Fiber,40 kcal per 100g,Boosts immunity;anti-inflammatory.,Shoots;Cooking Base
195,Green Onion Shoots,₹75/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Shoots of green onion.,Vitamin C;Flavonoids;Fiber,40 kcal per 100g,Boosts immunity;anti-inflammatory.,Shoots;Cooking Base
196,Yellow Onion Shoots,₹85/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Shoots of yellow onion.,Vitamin C;Flavonoids;Fiber,40 kcal per 100g,Boosts immunity;anti-inflammatory.,Shoots;Cooking Base
197,Red Pepper Shoots,₹80/box,https://images.unsplash.com/photo-1465101046530-73398c7f28ca?auto=format&fit=crop&w=400&q=80,Vegetable,Shoots of red pepper.,Vitamin C;Vitamin A;Antioxidants,31 kcal per 100g,Boosts immunity;improves vision.,Shoots;Salad
198,Green Pepper Shoots,₹75/box,https://images.unsplash.com/photo-1465101178521-c1a9136a3b43?auto=format&fit=crop&w=400&q=80,Vegetable,Shoots of green pepper.,Vitamin C;Vitamin A;Antioxidants,31 kcal per 100g,Boosts immunity;improves vision.,Shoots;Salad
199,Yellow Pepper Shoots,₹85/box,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?auto=format&fit=crop&w=400&q=80,Vegetable,Shoots of yellow pepper.,Vitamin C;Vitamin A;Antioxidants,31 kcal per 100g,Boosts immunity;improves vision.,Shoots;Salad
